[2025-06-09 09:23:37] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-09 09:23:37.024029', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-09 09:23:37] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-09 09:23:37.066328', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2025-06-09 09:23:37] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-09 09:23:37.073525', 'model': 'USB_OPTICAL_MOUSE', 'vendor': '30fa', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/005'}
[2025-06-25 04:50:21] {'type': 'usb', 'action': 'remove', 'timestamp': '2025-06-25 04:50:21.092851', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2', 'node': '/dev/bus/usb/003/002'}
[2025-06-25 04:50:24] {'type': 'usb', 'action': 'add', 'timestamp': '2025-06-25 04:50:24.296328', 'model': 'USB_OPTICAL_MOUSE', 'vendor': '30fa', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2', 'node': '/dev/bus/usb/003/004'}
[2025-06-25 04:50:24] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-25 04:50:24.428254', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0', 'node': None}
[2025-06-25 04:50:24] {'type': 'usb', 'action': 'bind', 'timestamp': '2025-06-25 04:50:24.435821', 'model': 'USB_OPTICAL_MOUSE', 'vendor': '30fa', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-2', 'node': '/dev/bus/usb/003/004'}
[2023-12-24 16:08:13] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:08:13.823377', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:1a.0/usb1/1-1/1-1.2', 'node': '/dev/bus/usb/001/005'}
[2023-12-24 16:09:09] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:09:09.768829', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2023-12-24 16:09:09] {'type': 'usb', 'action': 'unbind', 'timestamp': '2023-12-24 16:09:09.848941', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2023-12-24 16:09:09] {'type': 'usb', 'action': 'remove', 'timestamp': '2023-12-24 16:09:09.850237', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
